Gene.identifier	RefSeq.ID	Gene.Symbol	Entrez.Gene	Alternate.Gene.Symbols	Gene.Description	X	MouseGene
ENSG00000091947	NM_032376	TMEM101	84336	MGC4251, FLJ23987	transmembrane protein 101 (TMEM101), mRNA.	G2 arrest	Tmem101
ENSG00000134452	NM_178150,NM_032807	FBXO18	84893	FBH1, Fbx18, FLJ14590, MGC131916,MGC141935, MGC141937	F-box protein, helicase, 18 (FBXO18), transcript variant 2, mRNA.	G2 arrest	Fbxo18
ENSG00000096150	NM_022551	RPS18	6222		ribosomal protein S18	S arrest	Rps18
ENSG00000147403	NM_006013	RPL10	6134	QM, NOV, DXS648, DXS648E, FLJ23544,FLJ27072, DKFZp686J1851	ribosomal protein L10 (RPL10), mRNA.	S arrest	Rpl10
ENSG00000137404	NM_007243	NRM	11270	NRM29	nurim (nuclear envelope membrane protein) (NRM), mRNA.	S arrest	Nrm
ENSG00000123609	NM_004688	NMI	9111		N-myc (and STAT) interactor (NMI), mRNA.	S arrest	Nmi
ENSG00000128059	NM_002703	PPAT	5471	GPAT, ATASE	phosphoribosyl pyrophosphate amidotransferase (PPAT), mRNA.	S arrest	Ppat
ENSG00000132879	NM_183413,NM_033182	FBXO44	93611	FBG3, FBX30, Fbx44, Fbxo6a, MGC14140,DKFZp781J0852	F-box protein 44 (FBXO44), transcript variant 3, mRNA.	S arrest	Fbxo44
ENSG00000174989	NM_012174	FBXW8	26259	FBW6, FBW8, FBX29, FBXO29, MGC33534	F-box and WD-40 domain protein 8 (FBXW8), transcript variant 2, mRNA.	S arrest	Fbxw8
ENSG00000129450	NM_014441	SIGLEC9	27180	CDw329, OBBP-LIKE	sialic acid binding Ig-like lectin 9 (SIGLEC9), mRNA.	S arrest	Siglece
ENSG00000114302	NM_004157	PRKAR2A	5576	PKR2, PRKAR2, MGC3606	protein kinase, cAMP-dependent, regulatory, type II, alpha (PRKAR2A), mRNA.	S arrest	Prkar2a
ENSG00000116906	NM_014236	GNPAT	8443	DAPAT, DAP-AT, DHAPAT	glyceronephosphate O-acyltransferase (GNPAT), mRNA.	S arrest	Gnpat
ENSG00000101577	NM_014646	LPIN2	9663	KIAA0249	lipin 2 (LPIN2), mRNA.	S arrest	Lpin2
ENSG00000132405	NM_020773	TBC1D14	57533	KIAA1322	TBC1 domain family, member 14 (TBC1D14), mRNA.	S arrest	Tbc1d14
ENSG00000004799	NM_002612	PDK4	5166	FLJ40832	pyruvate dehydrogenase kinase, isozyme 4 (PDK4), mRNA.	S arrest	Pdk4
ENSG00000075914	NM_015004	EXOSC7	23016	p8, EAP1, RRP42, Rrp42p, hRrp42p,FLJ26543, KIAA0116	exosome component 7 (EXOSC7), mRNA.	S arrest	Exosc7
ENSG00000179546	NM_000864	HTR1D	3352	HTRL, RDC4, HT1DA, 5-HT1D, HTR1DA	5-hydroxytryptamine (serotonin) receptor 1D (HTR1D), mRNA.	S arrest	Htr1d
ENSG00000112727	NM_021018	HIST1H3F	8968	H3/i, H3FI	histone 1, H3f (HIST1H3F), mRNA.	S arrest	Hist1h3i
ENSG00000059804	NM_006931	SLC2A3	6515	GLUT3, FLJ90380	solute carrier family 2 (facilitated glucose transporter), member 3 (SLC2A3), mRNA.	S arrest	Slc2a3
ENSG00000111364	NM_020936	DDX55	57696	KIAA1595, MGC33209	DEAD (Asp-Glu-Ala-Asp) box polypeptide 55 (DDX55), mRNA.	S arrest	Ddx55
ENSG00000125249	NM_021033	RAP2A	5911	KREV, RAP2, K-REV, RbBP-30	RAP2A, member of RAS oncogene family (RAP2A), mRNA.	S arrest	Rap2a
ENSG00000175874	NM_153836	CREG2	200407		cellular repressor of E1A-stimulated genes 2 (CREG2), mRNA.	S arrest	Creg2
ENSG00000197576	NM_002141	HOXA4	3201	HOX1, HOX1D	homeobox A4 (HOXA4), mRNA.	S arrest	Hoxa4
ENSG00000163811	XM_087089	WDR43	23160	 	PREDICTED: WD repeat domain 43, transcript variant 1 (WDR43), mRNA.	S arrest	Wdr43
ENSG00000092445	NM_006293	TYRO3	7301	BYK, Brt, Dtk, RSE, Sky, Tif	TYRO3 protein tyrosine kinase (TYRO3), mRNA.	S arrest	Tyro3
ENSG00000185008	NM_002942	ROBO2	6092	KIAA1568	roundabout, axon guidance receptor, homolog 2 (Drosophila) (ROBO2), mRNA.	S arrest	Robo2
ENSG00000196208	NM_014668	GREB1	9687	KIAA0575	GREB1 protein (GREB1), transcript variant a, mRNA.	S arrest	Greb1
ENSG00000182489	NM_212559	XKRX	402415	XKR2, XRG2, XPLAC	XK, Kell blood group complex subunit-related, X-linked (XKRX), mRNA.	S arrest	Xkrx
ENSG00000114867	NM_198242,NM_004953,NM_182917	EIF4G1	1981	p220, EIF4F, EIF4G, DKFZp686A1451	eukaryotic translation initiation factor 4 gamma, 1 (EIF4G1), transcript variant 4, mRNA.	S arrest	Eif4g1
ENSG00000116701	NM_000433	NCF2	4688	NOXA2, p67phox, P67-PHOX	neutrophil cytosolic factor 2 (65kDa, chronic granulomatous disease, autosomal 2) (NCF2), mRNA.	S arrest	Ncf2
ENSG00000145592	NM_000997	RPL37	6167	MGC99572	ribosomal protein L37 (RPL37), mRNA.	S arrest	Rpl37
ENSG00000189290	NM_007013	WWP1	11059	AIP5, Tiul1, hSDRP1, DKFZp434D2111	WW domain containing E3 ubiquitin protein ligase 1 (WWP1), mRNA.	S arrest	Wwp1
ENSG00000123268	NM_005171	ATF1	466	TREB36	activating transcription factor 1 (ATF1), mRNA.	S arrest	Gm1862
ENSG00000120837	NM_006166	NFYB	4801	HAP3, CBF-A, CBF-B, NF-YB	nuclear transcription factor Y, beta (NFYB), mRNA.	S arrest	Nfyb
ENSG00000108582	NM_001304	CPD	1362		carboxypeptidase D (CPD), mRNA.	S arrest	Cpd
ENSG00000133216	NM_004442,NM_017449	EPHB2	2048	DRT, ERK, CAPB, Hek5, PCBC, EPHT3, Tyro5,MGC87492	EPH receptor B2 (EPHB2), transcript variant 2, mRNA.	S arrest	Ephb2
ENSG00000108784	NM_000263	NAGLU	4669	NAG, MPS3B, UFHSD, MPS IIIB	N-acetylglucosaminidase, alpha- (Sanfilippo disease IIIB) (NAGLU), mRNA.	S arrest	Naglu
ENSG00000177889	NM_003348	UBE2N	7334	UBC13, MGC8489, UbcH-ben, MGC131857	ubiquitin-conjugating enzyme E2N (UBC13 homolog, yeast) (UBE2N), mRNA.	S arrest	Ube2n
ENSG00000122406	NM_000969	RPL5	6125	MSTP030, MGC117339	ribosomal protein L5 (RPL5), mRNA.	S arrest	Rpl5
ENSG00000186918	NM_172366,NM_018660	ZNF395	157574	FBX16, MGC125923, MGC125924, MGC125925, FBXO16	F-box protein 16 (FBXO16), mRNA.	S arrest	Zfp395
ENSG00000106484	NM_177524,NM_177525	MEST	4232	PEG1, MGC8703, MGC111102, DKFZp686L18234	mesoderm specific transcript homolog (mouse) (MEST), transcript variant 2, mRNA.	S arrest	Mest
ENSG00000158373	NM_138720	HIST1H2BD	3017	H2B/b, H2BFB, H2B.1B, HIRIP2, MGC90432,dJ221C16.6	histone 1, H2bd (HIST1H2BD), transcript variant 2, mRNA.	S arrest	Hist3h2ba
ENSG00000143858	NM_177402	SYT2	127833	SytII	synaptotagmin II (SYT2), mRNA.	S arrest	Syt2
ENSG00000056345	NM_000212	ITGB3	3690	CD61, GP3A, GPIIIa	integrin, beta 3 (platelet glycoprotein IIIa, antigen CD61) (ITGB3), mRNA.	S arrest	Itgb3
ENSG00000197756	NM_000998	RPL37A	6168	MGC74786	ribosomal protein L37a (RPL37A), mRNA.	S arrest	Rpl37a
ENSG00000111602	NM_003920	TIMELESS	8914	TIM, TIM1, hTIM, FLJ12640	timeless homolog (Drosophila) (TIMELESS), mRNA.	S arrest	Timeless
ENSG00000197903	NM_080593	HIST1H2BK	85236	H2B/S, H2BFT, H2BFAiii, MGC131989	histone 1, H2bk (HIST1H2BK), mRNA.	S arrest	Hist1h2bk
ENSG00000171401	NM_153490,NM_002274	KRT13	3860	K13, CK13, MGC3781	keratin 13 (KRT13), transcript variant 1, mRNA.	S arrest	Krt13
ENSG00000197694	NM_003127	SPTAN1	6709	(ALPHA)II-SPECTRIN	spectrin, alpha, non-erythrocytic 1 (alpha-fodrin) (SPTAN1), mRNA.	S arrest	Sptan1
ENSG00000005022	NM_001152	SLC25A5	292	T2, T3, 2F1, ANT2	solute carrier family 25 (mitochondrial carrier; adenine nucleotide translocator), member 5 (SLC25A5), mRNA.	S arrest	Slc25a5
ENSG00000125630	NM_019014	POLR1B	84172	RPA135, Rpo1-2, FLJ10816, FLJ21921,MGC131780	polymerase (RNA) I polypeptide B, 128kDa (POLR1B), mRNA.	S arrest	Polr1b
ENSG00000109475	NM_000995	RPL34	6164	MGC111005	ribosomal protein L34 (RPL34), transcript variant 1, mRNA.	S arrest	Rpl34-ps2
ENSG00000114054	NM_000532	PCCB	5096	DKFZp451E113	propionyl Coenzyme A carboxylase, beta polypeptide (PCCB), mRNA.	S arrest	Pccb
ENSG00000156970	NM_001211	BUB1B	701	SSK1, BUBR1, Bub1A, MAD3L, hBUBR1,BUB1beta	BUB1 budding uninhibited by benzimidazoles 1 homolog beta (yeast) (BUB1B), mRNA.	S arrest	Bub1b
ENSG00000148120	NM_032823	C9orf3	84909	APO, AP-O, C90RF3, FLJ14675	chromosome 9 open reading frame 3 (C9orf3), mRNA.	S arrest	2010111I01Rik
ENSG00000148843	NM_014976	PDCD11	22984	NFBP, ALG-4, KIAA0185	programmed cell death 11 (PDCD11), mRNA.	S arrest	Pdcd11
ENSG00000123179	NM_032565	EBPL	84650	EBRP, RP11-432M24.2	emopamil binding protein-like (EBPL), mRNA.	S arrest	Ebpl
